schema_name,document_type,schema_strata_name,base_path
consultation,consultation_outcome,consultation,/government/consultations/air-quality-identifying-taxi-and-private-hire-vehicles-in-charging-clean-air-zones
consultation,consultation_outcome,consultation,/government/consultations/uk-defence-spectrum-management
consultation,consultation_outcome,consultation,/government/consultations/withholding-tax-exemption-for-debt-traded-on-a-multilateral-trading-facility
consultation,consultation_outcome,consultation,/government/consultations/reviewing-the-nationally-significant-infrastructure-planning-regime-a-discussion-document
consultation,consultation_outcome,consultation,/government/consultations/consultation-on-smart-energy-code-and-licence-amendments-september-2016
consultation,consultation_outcome,consultation,/government/consultations/supplementary-protection-certificate-waiver-no-deal-legislation
consultation,consultation_outcome,consultation,/government/consultations/salisbury-plain-training-area-master-plan-army-basing-programme
consultation,consultation_outcome,consultation,/government/consultations/corporate-interest-restriction-consultation-on-leases
consultation,consultation_outcome,consultation,/government/consultations/corporate-parenting-the-local-offer-and-personal-adviser-support
consultation,consultation_outcome,consultation,/government/consultations/tackling-the-hidden-economy-public-sector-licensing
consultation,closed_consultation,consultation,/government/consultations/consultation-on-a-proposal-to-exempt-small-live-music-events-from-the-requirements-of-the-licensing-act-2003-the-act
consultation,consultation_outcome,consultation,/government/consultations/open-access-restriction-at-wilton-3-quarry-how-to-comment
consultation,consultation_outcome,consultation,/government/consultations/local-support-to-replace-community-care-grants-and-crisis-loans-for-living-expenses-call-for-evidence
consultation,consultation_outcome,consultation,/government/consultations/modernising-defence-programme-public-consultation
consultation,consultation_outcome,consultation,/government/consultations/revising-pace-codes-c-and-h
consultation,consultation_outcome,consultation,/government/consultations/electricity-market-reform-contracts-for-difference-consultation-on-changes-to-the-cfd-contract-cfd-regulations
consultation,consultation_outcome,consultation,/government/consultations/telecoms-price-control-appeals-under-section-193-of-the-communications-act-2003
consultation,consultation_outcome,consultation,/government/consultations/home-area-network-han-installations
consultation,consultation_outcome,consultation,/government/consultations/uk-standards-for-microbiology-investigations-national-user-manual-urine-tests
consultation,closed_consultation,consultation,/government/consultations/10-year-cancer-plan-call-for-evidence-easy-read
consultation,consultation_outcome,consultation,/government/consultations/forensic-gait-analysis-code-of-practice
consultation,consultation_outcome,consultation,/government/consultations/accountable-care-models-contract-proposed-changes-to-regulations
consultation,consultation_outcome,consultation,/government/consultations/integrated-transport-block-funding
consultation,consultation_outcome,consultation,/government/consultations/hs2-phase-one-supplementary-environmental-statement-3-and-additional-provision-4-october-2015-environmental-statement-consultation
consultation,consultation_outcome,consultation,/government/consultations/flag-flying-regulations
consultation,consultation_outcome,consultation,/government/consultations/tax-treatment-of-income-from-sporting-testimonials-proposals-for-legislation
consultation,consultation_outcome,consultation,/government/consultations/industrial-and-provident-societies-growth-through-co-operation
consultation,consultation_outcome,consultation,/government/consultations/nats-licence-changes-oceanic-price-control-for-2015-to-2019
consultation,consultation_outcome,consultation,/government/consultations/charge-proposals-for-repatriated-duties-uk-emissions-trading-scheme
consultation,closed_consultation,consultation,/government/consultations/guidance-for-business-on-environmental-key-performance-indicators
consultation,consultation_outcome,consultation,/government/consultations/operation-brock-removing-sunset-clauses-and-provisions-for-eu-exit-and-covid-19-pandemic-from-existing-traffic-management-legislation
consultation,consultation_outcome,consultation,/government/consultations/transposition-of-the-markets-in-financial-instruments-directive-ii
consultation,consultation_outcome,consultation,/government/consultations/proposal-to-use-a-legislative-reform-order-in-forming-a-combined-authority-or-economic-prosperity-board
consultation,consultation_outcome,consultation,/government/consultations/technical-reforms-of-council-tax
consultation,consultation_outcome,consultation,/government/consultations/open-access-restriction-at-ill-sike-lewisburn-how-to-comment
consultation,consultation_outcome,consultation,/government/consultations/consultation-on-proposed-commitments-in-respect-of-googles-privacy-sandbox-browser-changes
consultation,closed_consultation,consultation,/government/consultations/heavy-goods-vehicles-ending-the-sale-of-new-non-zero-emission-models
consultation,consultation_outcome,consultation,/government/consultations/vat-air-passenger-duty-and-tourism-in-northern-ireland
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/agent-dedicated-line-debt-management
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/new-computerised-transit-system-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/northern-ireland-corporate-tax-office
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/non-uk-residents-payment-helpline
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/stamp-duty-reserve-tax
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/enquiries-from-employers-with-expatriate-employees
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/tax-credits-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/software-developers
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/statutory-notices-information-returns
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/ir35-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/excise-movement-and-control-system-emcs-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/seafarers-national-insurance
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/national-insurance-numbers
contact,contact,contact,/government/organisations/legal-aid-agency/contact/legal-aid-agency-customer-services
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/seafarers-tax-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/stamp-duty-land-tax-forms-ordering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/money-laundering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/flooding
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/non-resident-landlords
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/new-computerised-transit-system-testing-services
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/the-certificate-of-tax-deposit-scheme-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/tax-enquiries-for-crown-servants-abroad
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/offshore-disclosure-facility-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/budd-dal-plant-ymholiadau-cyffredinol
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/tax-avoidance-getting-out-of-an-avoidance-scheme
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/get-help-with-the-self-employment-income-support-scheme
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/excise-movement-and-control-system-emcs-online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/self-assessment-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/corporation-tax-forms-ordering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/welsh-language-helplines
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/general-guarantee-accounts
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/get-help-from-hmrc-s-extra-support-team
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/group-payments-arrangements
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-customs-and-excise-and-duties-enquiries-for-welsh-speaking-customers
